"Accident_Index","accyr","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location-Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_(CC)","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type","make","model"
"2016010000161","2016","2","9","0","4","0","2","0","0","0","0","2","1","6","2","8","-1","-1","-1","-1","1",\0,\0
"2016010000162","2016","1","5","0","13","0","1","0","0","0","0","4","1","6","1","7","883","1","12","2","1","HARLEY-DAVIDSON","XL 53 C SPORTSTER"
"2016010000162","2016","2","9","0","9","0","5","0","0","0","0","3","1","6","1","7","2494","1","12","1","1","BMW","X3 SE AUTO"
"2016010000163","2016","1","9","0","12","0","1","0","0","0","0","3","1","2","1","5","1995","2","4","2","1","BMW","116D SPORT"
"2016010000163","2016","2","4","0","18","0","1","0","0","0","0","4","1","2","1","8","750","1","1","4","1","Suzuki","GSXR 750 L5"
"2016010000167","2016","1","8","0","5","0","6","0","0","0","0","3","1","1","1","8","1798","8","2","4","1","TOYOTA","PRIUS T3 VVT-I CVT"
"2016010000167","2016","2","1","0","5","0","6","0","0","0","0","2","1","2","2","8","-1","-1","-1","3","1",\0,\0
"2016010000169","2016","1","11","0","9","0","3","0","0","0","0","0","1","6","2","7","4250","2","2","6","1","OPTARE","METROCITY MC990 AUTO"
"2016010000171","2016","1","11","0","4","2","1","0","0","0","0","0","1","1","1","9","9360","2","6","7","1","VOLVO","Missing"
"2016010000172","2016","1","9","0","18","9","0","1","4","1","2","1","1","6","1","11","1124","1","20","2","1","PEUGEOT","106 ESCAPADE"
"2016010000174","2016","1","8","0","6","0","0","0","0","0","0","3","1","1","1","8","-1","-1","-1","-1","1",\0,\0
"2016010000174","2016","2","3","0","14","0","0","0","0","0","0","4","1","2","1","6","-1","-1","-1","-1","1",\0,\0
"2016010000175","2016","1","3","0","18","0","1","0","0","0","0","1","1","6","1","6","125","1","3","-1","-1","Honda","WW 125-D"
"2016010000176","2016","1","9","0","18","0","1","0","0","0","0","1","1","6","2","7","-1","-1","-1","-1","1",\0,\0
